7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
"Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)"
"1581455460, +3.46, +22.584, +22.12416, +1113.000, +78.000, +147.000"
"1581455520, +3.46, +22.601, +22.20157, +1113.000, +80.000, +152.000"
"1581455580, +3.46, +22.643, +22.32853, +1102.000, +76.000, +188.000"
"1581455640, +3.46, +22.609, +22.25422, +1112.000, +80.000, +158.000"
"1581455700, +3.46, +22.626, +22.12726, +1087.000, +68.000, +227.000"
"1581455760, +3.46, +22.634, +22.39976, +1116.000, +38.000, +191.000"
"1581455820, +3.46, +22.651, +22.22325, +1091.000, +70.000, +214.000"
"1581455880, +3.46, +22.668, +21.98791, +1072.000, +56.000, +278.000"
"1581455940, +3.46, +22.668, +22.22944, +1111.000, +79.000, +161.000"
"1581456000, +3.46, +22.651, +22.15203, +1100.000, +76.000, +192.000"
"1581456060, +3.46, +22.685, +22.26351, +1089.000, +71.000, +216.000"
"1581456120, +3.46, +22.685, +21.81450, +1095.000, +72.000, +200.000"
"1581456180, +3.46, +22.693, +22.19848, +1072.000, +56.000, +272.000"
"1581456240, +3.46, +22.701, +22.24493, +1097.000, +76.000, +200.000"
"1581456300, +3.46, +22.701, +22.10868, +1105.000, +78.000, +176.000"
"1581456360, +3.46, +22.718, +22.19848, +1060.000, +51.000, +295.000"
"1581456420, +3.46, +22.710, +22.07771, +1099.000, +76.000, +200.000"
"1581456480, +3.46, +22.735, +22.04675, +1112.000, +78.000, +152.000"
"1581456540, +3.46, +22.735, +22.27280, +1091.000, +70.000, +216.000"
"1581456600, +3.46, +22.760, +22.34092, +1092.000, +71.000, +216.000"
"1581456660, +3.46, +22.751, +22.35640, +1087.000, +65.000, +240.000"
"1581456720, +3.46, +22.777, +22.40905, +1080.000, +62.000, +252.000"
"1581456780, +3.46, +22.760, +22.34092, +1087.000, +64.000, +236.000"
"1581456840, +3.46, +22.785, +22.04365, +1105.000, +80.000, +168.000"
"1581456900, +3.46, +22.751, +22.32234, +1072.000, +56.000, +263.000"
"1581456960, +3.46, +22.785, +22.18609, +1068.000, +56.000, +276.000"
"1581457020, +3.46, +22.777, +21.86714, +1086.000, +67.000, +236.000"
"1581457080, +3.46, +22.785, +22.29138, +1063.000, +48.000, +294.000"
"1581457140, +3.46, +22.793, +22.19848, +1094.000, +70.000, +224.000"
"1581457200, +3.46, +22.802, +22.22325, +1088.000, +67.000, +224.000"
"1581457260, +3.46, +22.802, +22.30995, +1087.000, +67.000, +224.000"
"1581457320, +3.46, +22.802, +22.26660, +1096.000, +72.000, +200.000"
"1581457380, +3.46, +22.810, +22.39047, +1072.000, +56.000, +264.000"
"1581457440, +3.46, +22.827, +22.03126, +1040.000, +40.000, +320.000"
"1581457500, +3.46, +22.802, +22.39976, +1088.000, +65.000, +232.000"
"1581457560, +3.46, +22.818, +22.04055, +1052.000, +44.000, +310.000"
"1581457620, +3.46, +22.827, +22.30376, +1084.000, +64.000, +241.000"
"1581457680, +3.46, +22.843, +22.12416, +1059.000, +49.000, +295.000"
"1581457740, +3.46, +22.835, +22.25112, +1027.000, +40.000, +327.000"
"1581457800, +3.46, +22.860, +22.01578, +1052.000, +48.000, +312.000"
"1581457860, +3.46, +22.852, +22.22635, +1086.000, +67.000, +236.000"
"1581457920, +3.46, +22.835, +22.30686, +1049.000, +48.000, +312.000"
"1581457980, +3.46, +22.860, +22.21086, +1065.000, +54.000, +280.000"
"1581458040, +3.46, +22.852, +22.34092, +1024.000, +36.000, +327.000"
"1581458100, +3.46, +22.860, +22.27280, +1048.000, +48.000, +312.000"
"1581458160, +3.46, +22.860, +22.55458, +1059.000, +48.000, +300.000"
"1581458220, +3.46, +22.860, +22.30376, +1080.000, +60.000, +252.000"
"1581458280, +3.46, +22.860, +22.37808, +1043.000, +44.000, +316.000"
"1581458340, +3.46, +22.869, +22.51433, +1084.000, +60.000, +248.000"
"1581458400, +3.46, +22.843, +22.25112, +1062.000, +49.000, +294.000"
"1581458460, +3.46, +22.877, +22.21396, +1031.000, +38.000, +323.000"
"1581458520, +3.46, +22.860, +22.31615, +1080.000, +64.000, +248.000"
"1581458580, +3.46, +22.869, +22.49265, +1038.000, +40.000, +323.000"
"1581458640, +3.46, +22.877, +22.29757, +1049.000, +48.000, +312.000"
"1581458700, +3.46, +22.877, +22.44620, +1078.000, +60.000, +259.000"
"1581458760, +3.46, +22.869, +22.17061, +1080.000, +60.000, +256.000"
"1581458820, +3.46, +22.877, +22.26660, +1084.000, +64.000, +248.000"
"1581458880, +3.46, +22.902, +22.15513, +1100.000, +78.000, +188.000"
"1581458940, +3.46, +22.885, +15.81642, +1046.000, +32.000, +291.000"
"1581459000, +3.46, +22.927,  +2.05520, +752.000, -570.000, -400.000"
"1581459060, +3.46, +22.944,  +0.32421, -154.000, +328.000, -816.000"
