wavelength,intensity
566.1,1358
566.43,1377
566.77,1391
567.1,1376
567.44,1363
567.77,1368
568.11,1384
568.45,1363
568.78,1381
569.12,1375
569.45,1357
569.79,1365
570.12,1362
570.46,1378
570.79,1372
571.13,1377
571.47,1368
571.8,1378
572.14,1379
572.47,1361
572.81,1372
573.14,1365
573.48,1365
573.81,1355
574.15,1359
574.48,1341
574.82,1379
575.15,1380
575.49,1342
575.82,1364
576.15,1347
576.49,1373
576.82,1325
577.16,1331
577.49,1331
577.83,1346
578.16,1333
578.5,1333
578.83,1336
579.16,1324
579.5,1329
579.83,1351
580.17,1305
580.5,1311
580.84,1332
581.17,1323
581.5,1338
581.84,1286
582.17,1303
582.51,1290
582.84,1315
583.17,1287
583.51,1292
583.84,1286
584.17,1274
584.51,1279
584.84,1297
585.17,1254
585.51,1266
585.84,1252
586.17,1253
586.51,1255
586.84,1229
587.17,1242
587.51,1235
587.84,1241
588.17,1219
588.51,1225
588.84,1217
589.17,1214
589.51,1220
589.84,1214
590.17,1201
590.5,1209
590.84,1213
591.17,1184
591.5,1192
591.84,1202
592.17,1190
592.5,1191
592.83,1198
593.17,1196
593.5,1175
593.83,1177
594.16,1167
594.5,1174
594.83,1158
595.16,1150
595.49,1158
595.82,1158
596.16,1123
596.49,1165
596.82,1146
597.15,1141
597.48,1150
597.82,1150
598.15,1116
598.48,1138
598.81,1127
599.14,1133
599.47,1112
599.81,1120
600.14,1114
600.47,1124
600.8,1105
601.13,1097
601.46,1094
601.79,1113
602.13,1106
602.46,1109
602.79,1100
603.12,1080
603.45,1077
603.78,1077
604.11,1109
604.44,1071
604.77,1078
605.11,1066
605.44,1078
605.77,1087
606.1,1085
606.43,1053
606.76,1086
607.09,1078
607.42,1063
607.75,1083
608.08,1069
608.41,1071
608.74,1078
609.07,1075
609.4,1079
609.73,1071
610.06,1072
610.39,1056
610.72,1061
611.05,1067
611.38,1062
611.71,1069
612.04,1069
612.37,1078
612.7,1075
613.03,1074
613.36,1082
613.69,1071
614.02,1112
614.35,1084
614.68,1111
615.01,1104
615.34,1084
615.67,1121
616,1106
616.33,1122
616.66,1095
616.99,1122
617.32,1159
617.65,1128
617.98,1134
618.3,1147
618.63,1163
618.96,1144
619.29,1178
619.62,1161
619.95,1183
620.28,1197
620.61,1214
620.94,1237
621.26,1235
621.59,1228
621.92,1251
622.25,1277
622.58,1272
622.91,1290
623.24,1300
623.56,1328
623.89,1331
624.22,1337
624.55,1366
624.88,1379
625.21,1417
625.53,1401
625.86,1413
626.19,1440
626.52,1467
626.85,1474
627.17,1487
627.5,1493
627.83,1534
628.16,1554
628.49,1560
628.81,1570
629.14,1585
629.47,1599
629.8,1601
630.12,1601
630.45,1613
630.78,1595
631.11,1589
631.43,1572
631.76,1534
632.09,1551
632.41,1499
632.74,1509
633.07,1463
633.4,1418
633.72,1370
634.05,1338
634.38,1306
634.7,1295
635.03,1224
635.36,1210
635.68,1131
636.01,1104
636.34,1080
636.66,1013
636.99,1011
637.32,955
637.64,942
637.97,923
638.3,895
638.62,873
638.95,829
639.28,815
639.6,805
639.93,777
640.25,750
640.58,731
640.91,724
641.23,719
641.56,694
641.88,676
642.21,659
642.54,666
642.86,653
643.19,635
643.51,625
643.84,610
644.16,599
644.49,600
644.82,568
645.14,585
645.47,569
645.79,560
646.12,558
646.44,535
646.77,533
647.09,534
647.42,531
647.74,518
648.07,513
648.39,505
648.72,502
649.04,509
649.37,498
649.69,493
650.02,478
650.34,482
650.67,468
650.99,457
651.32,463
651.64,453
651.96,457
652.29,453
652.61,435
652.94,441
653.26,442
653.59,436
653.91,435
654.23,435
654.56,422
654.88,417
655.21,429
655.53,418
655.85,410
656.18,401
656.5,410
656.83,410
657.15,400
657.47,392
657.8,393
658.12,393
658.44,386
658.77,386
659.09,376
659.41,384
659.74,378
660.06,385
660.39,379
660.71,388
661.03,377
661.35,377
661.68,357
662,370
662.32,359
662.65,368
662.97,361
663.29,351
663.62,357
663.94,354
664.26,350
664.58,342
664.91,344
665.23,343
665.55,334
665.87,346
666.2,334
666.52,332
666.84,331
667.16,323
667.49,325
667.81,334
668.13,325
668.45,315
668.77,313
669.1,318
669.42,307
669.74,320
670.06,310
670.38,312
670.71,302
671.03,311
671.35,303
671.67,292
671.99,307
672.31,295
672.64,299
672.96,294
673.28,291
673.6,297
673.92,294
674.24,287
674.56,287
674.89,285
675.21,291
675.53,286
675.85,288
676.17,284
676.49,282
676.81,288
677.13,286
677.45,277
677.77,278
678.1,267
678.42,275
678.74,283
679.06,262
679.38,264
679.7,270
680.02,266
680.34,270
680.66,275
680.98,257
681.3,259
681.62,260
681.94,253
682.26,257
682.58,258
682.9,249
683.22,251
683.54,252
683.86,241
684.18,241
684.5,244
684.82,247
685.14,235
685.46,244
685.78,240
686.1,246
686.42,238
686.74,238
687.06,240
687.38,237
687.7,231
688.02,237
688.34,231
688.65,235
688.97,240
689.29,227
689.61,227
689.93,226
690.25,217
690.57,222
690.89,230
691.21,222
691.53,229
691.84,219
692.16,213
692.48,224
692.8,227
693.12,220
693.44,213
693.76,215
694.07,212
694.39,211
694.71,211
695.03,207
695.35,211
695.67,214
695.98,206
696.3,204
696.62,212
696.94,209
697.26,205
697.57,208
697.89,210
698.21,202
698.53,201
698.84,200
699.16,202
699.48,204
699.8,199
700.12,193
700.43,199
700.75,197
701.07,192
701.38,194
701.7,196
702.02,193
702.34,196
702.65,197
702.97,191
703.29,194
703.61,191
703.92,194
704.24,194
704.56,182
704.87,192
705.19,191
705.51,189
705.82,186
706.14,187
706.46,192
706.77,184
707.09,185
707.41,185
707.72,186
708.04,176
708.35,173
708.67,177
708.99,178
709.3,175
709.62,183
709.94,180
710.25,183
710.57,178
710.88,179
711.2,177
711.51,177
711.83,178
712.15,177
712.46,179
712.78,174
713.09,178
713.41,174
713.72,171
714.04,176
714.36,179
714.67,172
714.99,172
715.3,174
715.62,170
715.93,169
716.25,167
716.56,162
716.88,171
717.19,166
717.51,170
717.82,170
718.14,173
718.45,164
718.77,165
719.08,167
719.4,165
719.71,169
720.02,168
720.34,162
720.65,160
720.97,170
721.28,164
721.6,165
721.91,159
722.22,157
722.54,164
722.85,159
723.17,159
723.48,163
723.79,160
724.11,162
724.42,157
724.74,157
725.05,163
725.36,157
725.68,159
725.99,162
726.3,161
726.62,160
726.93,163
727.25,160
727.56,158
727.87,156
728.19,154
728.5,157
728.81,158
729.12,158
729.44,155
729.75,155
730.06,156
730.38,156
730.69,154
731,156
731.32,160
731.63,155
731.94,153
732.25,151
732.57,158
732.88,155
733.19,154
733.5,152
733.82,157
734.13,156
734.44,160
734.75,159
735.07,153
735.38,156
735.69,158
736,157
736.31,152
736.63,156
736.94,149
737.25,155
737.56,155
737.87,153
738.18,152
738.5,153
738.81,157
739.12,152
739.43,149
739.74,154
740.05,150
740.37,152
740.68,150
740.99,148
741.3,149
741.61,149
741.92,151
742.23,155
742.54,151
742.86,148
743.17,148
743.48,150
743.79,148
744.1,153
744.41,149
744.72,149
745.03,151
745.34,147
745.65,150
745.96,151
746.27,146
746.58,150
746.89,150
747.2,148
747.51,150
747.82,147
748.13,147
748.45,148
748.76,144
749.07,147
749.38,147
749.69,151
749.99,148
750.3,149
750.61,146
750.92,144
751.23,149
751.54,148
751.85,146
752.16,149
752.47,149
752.78,148
753.09,143
753.4,147
753.71,147
754.02,146
754.33,146
754.64,146
754.95,144
755.26,145
755.56,151
755.87,147
756.18,151
756.49,149
756.8,148
757.11,143
757.42,146
757.73,145
758.03,149
758.34,145
758.65,145
758.96,147
759.27,145
759.58,141
759.89,141
760.19,144
760.5,144
760.81,140
761.12,143
761.43,143
761.73,141
762.04,147
762.35,143
762.66,142
762.97,141
763.27,139
763.58,139
763.89,144
764.2,142
764.5,141
764.81,140
765.12,143
765.43,148
765.73,144
766.04,143
766.35,139
766.66,138
766.96,139
767.27,141
767.58,146
767.88,142
768.19,138
768.5,141
768.81,142
769.11,139
769.42,141
769.73,141
770.03,141
770.34,142
770.65,139
770.95,138
771.26,142
771.56,141
771.87,139
772.18,139
772.48,139
772.79,141
773.1,138
773.4,141
773.71,138
774.01,138
774.32,141
774.63,141
774.93,139
775.24,141
775.54,141
775.85,139
776.16,139
776.46,142
776.77,142
777.07,139
777.38,138
777.68,139
777.99,137
778.29,136
778.6,142
778.9,140
779.21,139
779.51,140
779.82,144
780.12,142
780.43,142
780.73,140
781.04,141
781.34,138
781.65,138
781.95,138
782.26,136
782.56,138
782.87,141
783.17,137
783.48,140
783.78,140
784.09,138
784.39,141
784.69,138
785,138
785.3,138
785.61,137
785.91,144
786.21,143
786.52,140
786.82,138
787.13,145
787.43,141
787.73,142
788.04,137
788.34,139
788.65,140
788.95,143
789.25,145
789.56,140
789.86,143
790.16,140
790.47,136
790.77,138
791.07,142
791.38,140
791.68,140
791.98,141
792.29,140
792.59,140
792.89,139
793.19,139
793.5,141
793.8,145
794.1,142
794.4,140
794.71,137
795.01,137
795.31,139
795.62,136
795.92,134
796.22,136
796.52,136
796.82,136
797.13,136
797.43,136
797.73,138
798.03,143
798.34,142
798.64,142
798.94,140
799.24,140
799.54,137
799.84,138
800.15,136
800.45,138
800.75,139
801.05,136
801.35,140
801.65,137
801.96,136
802.26,141
802.56,142
802.86,138
803.16,136
803.46,141
803.76,145
804.06,140
804.36,138
804.67,134
804.97,139
805.27,143
805.57,146
805.87,141
806.17,138
806.47,141
806.77,137
807.07,137
807.37,135
807.67,134
807.97,137
808.27,139
808.57,138
808.87,139
809.17,135
809.47,141
809.77,141
810.07,134
810.37,138
810.67,141
810.97,139
811.27,137
811.57,140
811.87,142
812.17,140
812.47,137
812.77,142
813.07,141
813.37,138
813.67,139
813.97,136
814.27,137
814.57,146
814.87,140
815.17,135
815.47,138
815.76,135
816.06,136
816.36,139
816.66,135
816.96,138
817.26,135
817.56,136
817.86,134
818.16,137
818.45,144
818.75,136
819.05,138
819.35,139
819.65,135
819.95,135
820.24,138
820.54,136
820.84,133
821.14,136
821.44,134
821.74,138
822.03,139
822.33,139
822.63,140
822.93,139
823.22,136
823.52,135
823.82,138
824.12,137
824.42,141
824.71,140
825.01,140
825.31,136
825.61,133
825.9,139
826.2,133
826.5,140
826.79,139
827.09,141
827.39,141
827.69,137
827.98,145
828.28,140
828.58,139
828.87,133
829.17,135
829.47,136
829.76,137
830.06,141
830.36,137
830.65,138
830.95,135
831.25,138
831.54,137
831.84,137
832.13,134
832.43,136
832.73,139
833.02,139
833.32,140
833.61,133
833.91,132
834.21,130
834.5,134
