7530-428102
OS REV: 1.05 Sensor Cal: 1572940800
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1583273820, +3.43, +16.971, +148.82397, +1040.000, -32.000, +246.000
1583273880, +3.43, +17.005, +149.00357, +1040.000, -25.000, +240.000
1583273940, +3.43, +16.988, +148.52979, +1040.000, -32.000, +240.000
1583274000, +3.43, +16.996, +149.20175, +1032.000, -31.000, +248.000
1583274060, +3.43, +17.005, +148.90758, +1038.000, -32.000, +243.000
1583274120, +3.43, +16.979, +148.83326, +1031.000, -32.000, +248.000
1583274180, +3.43, +16.979, +148.92616, +1038.000, -32.000, +246.000
1583274240, +3.43, +17.013, +149.09956, +1036.000, -32.000, +240.000
1583274300, +3.43, +17.005, +149.29775, +1036.000, -31.000, +243.000
1583274360, +3.43, +16.988, +149.14601, +1031.000, -32.000, +248.000
1583274420, +3.43, +17.005, +149.43090, +1039.000, -29.000, +243.000
1583274480, +3.43, +16.988, +149.16150, +1031.000, -28.000, +248.000
1583274540, +3.43, +16.996, +148.94783, +1031.000, -29.000, +248.000
1583274600, +3.43, +16.988, +149.01596, +1032.000, -29.000, +246.000
1583274660, +3.43, +16.988, +148.89209, +1036.000, -28.000, +244.000
1583274720, +3.43, +16.962, +149.22962, +1039.000, -31.000, +240.000
1583274780, +3.43, +16.988, +148.70320, +1025.000, -32.000, +252.000
1583274840, +3.43, +16.988, +148.86732, +1036.000, -32.000, +248.000
1583274900, +3.43, +16.988, +147.89499, +1039.000, -32.000, +243.000
1583274960, +3.43, +16.979, +148.39354, +1031.000, -32.000, +252.000
1583275020, +3.43, +16.979, +148.54218, +1032.000, -32.000, +248.000
1583275080, +3.43, +16.962, +148.11795, +1036.000, -32.000, +248.000
1583275140, +3.43, +16.954, +148.25110, +1033.000, -32.000, +248.000
1583275200, +3.43, +16.971, +148.21394, +1036.000, -31.000, +244.000
1583275260, +3.43, +16.945, +149.12124, +1036.000, -31.000, +248.000
1583275320, +3.43, +16.971, +148.68153, +1039.000, -29.000, +248.000
1583275380, +3.43, +16.945, +148.50192, +1032.000, -31.000, +248.000
1583275440, +3.43, +16.988, +148.19227, +1032.000, -32.000, +248.000
1583275500, +3.43, +16.954, +148.35638, +1031.000, -32.000, +252.000
1583275560, +3.43, +16.971, +148.65985, +1032.000, -32.000, +248.000
1583275620, +3.43, +16.988, +148.44928, +1031.000, -31.000, +252.000
1583275680, +3.43, +16.979, +147.34071, +1036.000, -32.000, +240.000
1583275740, +3.43, +16.988, +148.29136, +1040.000, -29.000, +240.000
1583275800, +3.43, +16.979, +148.28207, +1041.000, -26.000, +240.000
1583275860, +3.43, +17.005, +148.41832, +1036.000, -32.000, +248.000
1583275920, +3.43, +16.988, +148.39664, +1033.000, -32.000, +248.000
1583275980, +3.43, +16.979, +148.63817, +1039.000, -32.000, +244.000
1583276040, +3.43, +17.005, +148.11175, +1043.000, -24.000, +243.000
1583276100, +3.43, +16.962, +148.09008, +1033.000, -28.000, +248.000
1583276160, +3.43, +16.979, +148.25110, +1032.000, -32.000, +252.000
1583276220, +3.43, +16.988, +148.12724, +1036.000, -31.000, +248.000
1583276280, +3.43, +16.988, +148.56386, +1038.000, -32.000, +248.000
1583276340, +3.43, +16.971, +148.19846, +1031.000, -32.000, +248.000
1583276400, +3.43, +16.954, +136.97644, +1040.000, -28.000, +240.000
1583276460, +3.43, +16.937, +129.87288, +1036.000, -32.000, +243.000
1583276520, +3.43, +16.988, +130.10512, +1033.000, -29.000, +244.000
1583276580, +3.43, +16.979, +130.24447, +1028.000, -32.000, +252.000
1583276640, +3.43, +16.971, +130.30950, +1030.000, -32.000, +248.000
1583276700, +3.43, +16.979, +130.71825, +1040.000, -26.000, +248.000
1583276760, +3.43, +16.962, +130.50458, +1031.000, -32.000, +248.000
1583276820, +3.43, +16.971, +130.49219, +1036.000, -32.000, +248.000
1583276880, +3.43, +16.962, +130.65322, +1027.000, -32.000, +249.000
1583276940, +3.43, +16.979, +130.34046, +1039.000, -31.000, +248.000
1583277000, +3.43, +16.954, +130.48290, +1036.000, -26.000, +246.000
1583277060, +3.43, +16.971, +130.41788, +1038.000, -32.000, +240.000
1583277120, +3.43, +16.979, +130.46433, +1030.000, -31.000, +248.000
1583277180, +3.43, +16.971, +129.98435, +1040.000, -29.000, +240.000
1583277240, +3.43, +16.996, +129.98435, +1032.000, -32.000, +246.000
1583277300, +3.43, +17.005, +130.29401, +1036.000, -32.000, +248.000
1583277360, +3.43, +16.962, +130.68418, +1036.000, -31.000, +246.000
1583277420, +3.43, +16.988, +130.07725, +1038.000, -32.000, +244.000
1583277480, +3.43, +16.979, +129.75211, +1035.000, -29.000, +248.000
1583277540, +3.43, +16.988, +130.16396, +1030.000, -32.000, +248.000
1583277600, +3.43, +17.005, +130.09274, +1031.000, -32.000, +248.000
1583277660, +3.43, +16.962, +130.32808, +1031.000, -32.000, +248.000
1583277720, +3.43, +16.979, +129.88217, +1031.000, -32.000, +252.000
1583277780, +3.43, +16.962, +129.97507, +1032.000, -32.000, +248.000
1583277840, +3.43, +16.954, +131.04029, +1036.000, -31.000, +248.000
1583277900, +3.43, +16.979, +129.34027, +1039.000, -26.000, +240.000
1583277960, +3.43, +16.962, +129.63444, +1032.000, -32.000, +248.000
1583278020, +3.43, +16.954, +129.98435, +1031.000, -29.000, +248.000
1583278080, +3.43, +16.971, +130.09274, +1032.000, -32.000, +246.000
1583278140, +3.43, +16.988, +129.70876, +1030.000, -29.000, +246.000
1583278200, +3.43, +16.971, +129.90384, +1035.000, -32.000, +248.000
1583278260, +3.43, +16.945, +130.30950, +1036.000, -32.000, +248.000
1583278320, +3.43, +16.962, +130.71825, +1038.000, -28.000, +246.000
1583278380, +3.43, +16.954, +129.79237, +1032.000, -32.000, +244.000
1583278440, +3.43, +16.962, +130.23827, +1046.000, -26.000, +243.000
1583278500, +3.43, +16.971, +129.75830, +1036.000, -32.000, +246.000
1583278560, +3.43, +16.971, +129.69328, +1036.000, -32.000, +244.000
1583278620, +3.43, +16.979, +130.02461, +1038.000, -29.000, +244.000
1583278680, +3.43, +16.954, +129.46413, +1039.000, -32.000, +243.000
1583278740, +3.43, +16.979, +129.34646, +1036.000, -29.000, +246.000
1583278800, +3.43, +16.971, +129.82333, +1032.000, -32.000, +248.000
1583278860, +3.43, +16.988, +129.91313, +1036.000, -32.000, +248.000
1583278920, +3.43, +16.971, +129.65302, +1038.000, -32.000, +244.000
1583278980, +3.43, +16.979, +130.05558, +1041.000, -29.000, +243.000
1583279040, +3.43, +16.988, +130.12370, +1036.000, -32.000, +248.000
1583279100, +3.43, +16.996, +129.81404, +1041.000, -26.000, +240.000
1583279160, +3.43, +16.996, +129.90694, +1033.000, -32.000, +248.000
1583279220, +3.43, +17.013, +130.11131, +1027.000, -32.000, +248.000
1583279280, +3.43, +16.971, +129.89765, +1032.000, -32.000, +248.000
1583279340, +3.43, +16.971, +129.98745, +1040.000, -29.000, +240.000
1583279400, +3.43, +16.988, +129.63754, +1024.000, -31.000, +256.000
1583279460, +3.43, +16.971, +129.70566, +1036.000, -32.000, +243.000
1583279520, +3.43, +17.005, +129.54774, +1032.000, -31.000, +248.000
1583279580, +3.43, +16.971, +129.82643, +1032.000, -32.000, +248.000
1583279640, +3.43, +16.971, +129.78617, +1036.000, -32.000, +248.000
1583279700, +3.43, +16.988, +129.70566, +1040.000, -32.000, +240.000
1583279760, +3.43, +16.971, +129.68399, +1043.000, -28.000, +240.000
1583279820, +3.43, +16.962, +129.52296, +1030.000, -32.000, +248.000
1583279880, +3.43, +16.962, +129.88836, +1040.000, -32.000, +244.000
1583279940, +3.43, +16.954, +129.75211, +1031.000, -32.000, +248.000
1583280000, +3.43, +16.954, +114.45499, +1038.000, -32.000, +243.000
1583280060, +3.43, +16.928, +113.43621, +1039.000, -26.000, +248.000
1583280120, +3.43, +16.954, +113.29996, +1033.000, -32.000, +246.000
1583280180, +3.43, +16.962, +113.17610, +1036.000, -31.000, +248.000
1583280240, +3.43, +16.937, +113.62820, +1040.000, -32.000, +243.000
1583280300, +3.43, +16.962, +113.59104, +1036.000, -32.000, +246.000
1583280360, +3.43, +16.945, +113.73968, +1038.000, -31.000, +244.000
1583280420, +3.43, +16.945, +113.56627, +1036.000, -32.000, +248.000
1583280480, +3.43, +16.945, +113.46099, +1036.000, -32.000, +248.000
1583280540, +3.43, +16.937, +113.16681, +1036.000, -29.000, +248.000
1583280600, +3.43, +16.928, +113.44241, +1039.000, -29.000, +246.000
1583280660, +3.43, +16.911, +113.67155, +1041.000, -29.000, +244.000
1583280720, +3.43, +16.945, +113.21326, +1040.000, -24.000, +240.000
1583280780, +3.43, +16.911, +113.87283, +1031.000, -32.000, +252.000
1583280840, +3.43, +16.903, +113.16681, +1038.000, -32.000, +246.000
1583280900, +3.43, +16.903, +113.36189, +1043.000, -28.000, +238.000
1583280960, +3.43, +16.886, +113.34332, +1036.000, -31.000, +241.000
1583281020, +3.43, +16.877, +113.42073, +1041.000, -32.000, +246.000
1583281080, +3.43, +16.903, +113.19468, +1038.000, -29.000, +248.000
1583281140, +3.43, +16.894, +113.70252, +1038.000, -28.000, +246.000
1583281200, +3.43, +16.903, +113.34951, +1040.000, -26.000, +244.000
1583281260, +3.43, +16.920, +113.12655, +1036.000, -32.000, +252.000
1583281320, +3.43, +16.911, +112.69303, +1041.000, -26.000, +240.000
1583281380, +3.43, +16.903, +113.15752, +1043.000, -28.000, +240.000
1583281440, +3.43, +16.903, +113.06462, +1038.000, -32.000, +248.000
1583281500, +3.43, +16.920, +112.90050, +1035.000, -29.000, +248.000
1583281560, +3.43, +16.903, +113.38976, +1036.000, -31.000, +243.000
1583281620, +3.43, +16.903, +113.24422, +1043.000, -29.000, +240.000
1583281680, +3.43, +16.911, +112.94386, +1039.000, -29.000, +243.000
1583281740, +3.43, +16.920, +113.12655, +1039.000, -31.000, +248.000
1583281800, +3.43, +16.886, +113.79851, +1036.000, -29.000, +248.000
1583281860, +3.43, +16.920, +113.25971, +1039.000, -32.000, +240.000
1583281920, +3.43, +16.920, +113.42073, +1036.000, -32.000, +243.000
1583281980, +3.43, +16.911, +113.20087, +1036.000, -28.000, +248.000
1583282040, +3.43, +16.920, +113.47028, +1036.000, -31.000, +248.000
1583282100, +3.43, +16.903, +113.09869, +1036.000, -32.000, +246.000
1583282160, +3.43, +16.894, +113.43002, +1040.000, -29.000, +240.000
1583282220, +3.43, +16.911, +113.60652, +1043.000, -26.000, +243.000
1583282280, +3.43, +16.869, +114.07411, +1038.000, -29.000, +241.000
1583282340, +3.43, +16.911, +113.71181, +1033.000, -32.000, +243.000
1583282400, +3.43, +16.903, +113.37428, +1036.000, -26.000, +240.000
1583282460, +3.43, +16.903, +113.47957, +1038.000, -32.000, +244.000
1583282520, +3.43, +16.911, +113.31545, +1040.000, -32.000, +243.000
1583282580, +3.43, +16.911, +113.25351, +1038.000, -32.000, +241.000
1583282640, +3.43, +16.911, +113.45789, +1039.000, -28.000, +244.000
1583282700, +3.43, +16.911, +113.57866, +1038.000, -26.000, +241.000
1583282760, +3.43, +16.920, +113.74897, +1031.000, -31.000, +248.000
1583282820, +3.43, +16.928, +113.54150, +1038.000, -32.000, +243.000
1583282880, +3.43, +16.928, +112.95315, +1038.000, -29.000, +241.000
1583282940, +3.43, +16.886, +113.34641, +1043.000, -32.000, +240.000
1583283000, +3.43, +16.928, +113.39905, +1036.000, -26.000, +243.000
1583283060, +3.43, +16.920, +113.33712, +1039.000, -32.000, +243.000
1583283120, +3.43, +16.928, +112.89431, +1033.000, -32.000, +246.000
1583283180, +3.43, +16.920, +113.51363, +1036.000, -26.000, +246.000
1583283240, +3.43, +16.928, +113.11107, +1043.000, -32.000, +240.000
1583283300, +3.43, +16.920, +113.04914, +1036.000, -32.000, +243.000
1583283360, +3.43, +16.920, +113.02127, +1041.000, -32.000, +240.000
1583283420, +3.43, +16.894, +113.13275, +1046.000, -28.000, +240.000
1583283480, +3.43, +16.903, +113.32164, +1039.000, -26.000, +243.000
1583283540, +3.43, +16.911, +112.93147, +1040.000, -26.000, +246.000
1583283600, +3.43, +16.894, +95.21282, +1046.000, -29.000, +240.000
1583283660, +3.43, +16.894, +91.61149, +1038.000, -32.000, +244.000
1583283720, +3.43, +16.911, +91.74465, +1038.000, -32.000, +246.000
1583283780, +3.43, +16.903, +91.85612, +1040.000, -32.000, +246.000
1583283840, +3.43, +16.903, +76.63951, +1030.000, -20.000, +252.000
1583283900, +3.43, +16.894, +93.31771, +1032.000, -31.000, +248.000
1583283960, +3.43, +16.911, +93.53137, +1039.000, -26.000, +246.000
1583284020, +3.43, +16.894, +93.23101, +1036.000, -26.000, +243.000
1583284080, +3.43, +16.903, +92.72317, +1039.000, -24.000, +246.000
1583284140, +3.43, +16.903, +92.89348, +1040.000, -25.000, +243.000
1583284200, +3.43, +16.911, +93.29294, +1044.000, -32.000, +240.000
1583284260, +3.43, +16.911, +93.22481, +1039.000, -25.000, +240.000
1583284320, +3.43, +16.911, +93.22481, +1040.000, -32.000, +243.000
1583284380, +3.43, +16.894, +92.99876, +1032.000, -32.000, +248.000
1583284440, +3.43, +16.894, +93.56853, +1038.000, -29.000, +240.000
1583284500, +3.43, +16.911, +93.37964, +1039.000, -28.000, +248.000
1583284560, +3.43, +16.877, +93.38274, +1035.000, -29.000, +244.000
1583284620, +3.43, +16.903, +93.19694, +1036.000, -26.000, +248.000
1583284680, +3.43, +16.869, +93.54066, +1040.000, -29.000, +240.000
1583284740, +3.43, +16.894, +92.96780, +1038.000, -29.000, +240.000
1583284800, +3.43, +16.886, +93.02353, +1040.000, -24.000, +240.000
1583284860, +3.43, +16.886, +93.58092, +1039.000, -24.000, +246.000
1583284920, +3.43, +16.877, +93.30842, +1040.000, -26.000, +238.000
1583284980, +3.43, +16.894, +93.28674, +1040.000, -24.000, +240.000
1583285040, +3.43, +16.894, +93.42609, +1038.000, -28.000, +240.000
1583285100, +3.43, +16.911, +93.47564, +1030.000, -32.000, +248.000
1583285160, +3.43, +16.894, +93.37964, +1031.000, -28.000, +246.000
1583285220, +3.43, +16.877, +93.72646, +1031.000, -28.000, +248.000
1583285280, +3.43, +16.894, +93.43228, +1039.000, -28.000, +240.000
1583285340, +3.43, +16.886, +93.63975, +1043.000, -26.000, +236.000
1583285400, +3.43, +16.869, +93.01424, +1041.000, -29.000, +240.000
1583285460, +3.43, +16.877, +93.33939, +1040.000, -29.000, +240.000
1583285520, +3.43, +16.877, +93.04211, +1036.000, -28.000, +243.000
1583285580, +3.43, +16.886, +93.43848, +1039.000, -28.000, +240.000
1583285640, +3.43, +16.886, +93.10714, +1036.000, -29.000, +246.000
1583285700, +3.43, +16.894, +93.23720, +1039.000, -28.000, +241.000
1583285760, +3.43, +16.877, +93.47873, +1043.000, -24.000, +240.000
1583285820, +3.43, +16.877, +93.52518, +1039.000, -25.000, +240.000
1583285880, +3.43, +16.869, +93.48802, +1038.000, -28.000, +248.000
1583285940, +3.43, +16.877, +93.59640, +1039.000, -29.000, +241.000
1583286000, +3.43, +16.877, +93.39822, +1039.000, -26.000, +240.000
1583286060, +3.43, +16.911, +93.35797, +1040.000, -20.000, +240.000
1583286120, +3.43, +16.852, +93.53757, +1035.000, -32.000, +246.000
1583286180, +3.43, +16.886, +93.46944, +1040.000, -24.000, +240.000
1583286240, +3.43, +16.869, +93.41680, +1036.000, -25.000, +244.000
1583286300, +3.43, +16.877, +93.62427, +1039.000, -26.000, +243.000
1583286360, +3.43, +16.886, +93.64595, +1040.000, -26.000, +243.000
1583286420, +3.43, +16.869, +93.27745, +1041.000, -25.000, +240.000
1583286480, +3.43, +16.894, +93.14120, +1038.000, -26.000, +243.000
1583286540, +3.43, +16.860, +93.35487, +1036.000, -31.000, +240.000
1583286600, +3.43, +16.903, +93.55615, +1036.000, -26.000, +244.000
1583286660, +3.43, +16.911, +93.42919, +1043.000, -26.000, +240.000
1583286720, +3.43, +16.903, +91.46905, +1038.000, -32.000, +244.000
1583286780, +3.43, +16.903, +90.83735, +1038.000, -29.000, +246.000
1583286840, +3.43, +16.920, +90.03224, +1031.000, -32.000, +246.000
1583286900, +3.43, +16.911, +89.49653, +1038.000, -26.000, +241.000
1583286960, +3.43, +16.928, +89.48104, +1036.000, -26.000, +248.000
1583287020, +3.43, +16.920, +89.15900, +1038.000, -32.000, +243.000
1583287080, +3.43, +16.920, +89.70090, +1038.000, -26.000, +246.000
1583287140, +3.43, +16.937, +89.27977, +1033.000, -26.000, +248.000
1583287200, +3.43, +16.911, +83.74927, +1039.000, -26.000, +241.000
1583287260, +3.43, +16.937, +68.14868, +1039.000, -28.000, +243.000
1583287320, +3.43, +16.937, +67.81115, +1040.000, -26.000, +243.000
1583287380, +3.43, +16.937, +69.20152, +1035.000, -28.000, +246.000
1583287440, +3.43, +16.937, +68.02482, +1039.000, -29.000, +240.000
1583287500, +3.43, +16.945, +68.06198, +1040.000, -29.000, +240.000
1583287560, +3.43, +16.928, +67.95979, +1032.000, -31.000, +244.000
1583287620, +3.43, +16.928, +68.20132, +1036.000, -26.000, +246.000
1583287680, +3.43, +16.945, +68.13010, +1035.000, -26.000, +248.000
1583287740, +3.43, +16.945, +68.71535, +1038.000, -26.000, +243.000
1583287800, +3.43, +16.945, +68.27874, +1036.000, -28.000, +246.000
1583287860, +3.43, +16.928, +68.27564, +1036.000, -26.000, +243.000
1583287920, +3.43, +16.937, +68.61626, +1032.000, -29.000, +248.000
1583287980, +3.43, +16.937, +68.25087, +1039.000, -28.000, +246.000
1583288040, +3.43, +16.945, +68.71845, +1036.000, -29.000, +248.000
1583288100, +3.43, +16.945, +68.11152, +1038.000, -29.000, +246.000
1583288160, +3.43, +16.945, +68.52646, +1040.000, -24.000, +240.000
1583288220, +3.43, +16.945, +68.90425, +1038.000, -29.000, +240.000
1583288280, +3.43, +16.945, +68.65342, +1039.000, -26.000, +248.000
1583288340, +3.43, +16.937, +68.69678, +1036.000, -26.000, +248.000
1583288400, +3.43, +16.928, +68.86709, +1040.000, -25.000, +240.000
1583288460, +3.43, +16.937, +68.87328, +1039.000, -26.000, +240.000
1583288520, +3.43, +16.937, +68.87638, +1038.000, -28.000, +248.000
1583288580, +3.43, +16.928, +69.33467, +1038.000, -32.000, +244.000
1583288640, +3.43, +16.928, +68.89805, +1032.000, -26.000, +246.000
1583288700, +3.43, +16.945, +69.06217, +1043.000, -24.000, +240.000
1583288760, +3.43, +16.954, +69.00334, +1036.000, -29.000, +243.000
1583288820, +3.43, +16.962, +68.88567, +1039.000, -32.000, +241.000
1583288880, +3.43, +16.945, +69.06837, +1041.000, -24.000, +240.000
1583288940, +3.43, +16.928, +68.95689, +1039.000, -28.000, +246.000
1583289000, +3.43, +16.937, +69.14578, +1044.000, -28.000, +244.000
1583289060, +3.43, +16.945, +69.16436, +1038.000, -26.000, +244.000
1583289120, +3.43, +16.911, +69.06527, +1036.000, -32.000, +243.000
1583289180, +3.43, +16.911, +68.97237, +1033.000, -28.000, +242.000
1583289240, +3.43, +16.911, +68.97856, +1039.000, -28.000, +243.000
1583289300, +3.43, +16.911, +69.23248, +1043.000, -29.000, +240.000
1583289360, +3.43, +16.894, +68.85780, +1040.000, -25.000, +241.000
1583289420, +3.43, +16.886, +68.89805, +1038.000, -26.000, +246.000
1583289480, +3.43, +16.894, +68.94760, +1038.000, -29.000, +241.000
1583289540, +3.43, +16.903, +68.07436, +1039.000, -24.000, +246.000
1583289600, +3.43, +16.911, +68.92902, +1043.000, -25.000, +243.000
1583289660, +3.43, +16.937, +68.82683, +1032.000, -29.000, +248.000
1583289720, +3.43, +16.920, +69.09933, +1036.000, -28.000, +244.000
1583289780, +3.43, +16.937, +69.28513, +1040.000, -28.000, +240.000
1583289840, +3.43, +16.928, +68.87328, +1033.000, -29.000, +248.000
1583289900, +3.43, +16.937, +68.83302, +1036.000, -26.000, +241.000
1583289960, +3.43, +16.937, +68.98166, +1038.000, -26.000, +240.000
1583290020, +3.43, +16.945, +68.90425, +1039.000, -26.000, +243.000
1583290080, +3.43, +16.928, +69.04050, +1032.000, -32.000, +246.000
1583290140, +3.43, +16.954, +68.71535, +1043.000, -25.000, +240.000
1583290200, +3.43, +16.920, +69.04050, +1038.000, -29.000, +240.000
1583290260, +3.43, +16.945, +69.43686, +1039.000, -29.000, +240.000
1583290320, +3.43, +16.937, +68.83612, +1040.000, -26.000, +240.000
1583290380, +3.43, +16.937, +68.62246, +1038.000, -26.000, +244.000
1583290440, +3.43, +16.928, +68.48001, +1032.000, -25.000, +241.000
1583290500, +3.43, +16.945, +68.97856, +1032.000, -32.000, +244.000
1583290560, +3.43, +16.945, +69.02192, +1038.000, -28.000, +240.000
1583290620, +3.43, +16.954, +68.95998, +1040.000, -28.000, +240.000
1583290680, +3.43, +16.954, +69.17675, +1038.000, -26.000, +246.000
1583290740, +3.43, +16.954, +68.51098, +1032.000, -29.000, +243.000
1583290800, +3.43, +16.954, +50.46100, +1036.000, -32.000, +240.000
1583290860, +3.43, +16.954, +46.38589, +1040.000, -32.000, +240.000
1583290920, +3.43, +16.937, +47.20649, +1039.000, -29.000, +243.000
1583290980, +3.43, +16.928, +46.29299, +1032.000, -26.000, +244.000
1583291040, +3.43, +16.937, +46.34564, +1032.000, -31.000, +246.000
1583291100, +3.43, +16.937, +45.93069, +1038.000, -26.000, +243.000
1583291160, +3.43, +16.962, +46.30538, +1038.000, -24.000, +244.000
1583291220, +3.43, +16.945, +46.11339, +1033.000, -29.000, +246.000
1583291280, +3.43, +16.928, +46.34564, +1041.000, -28.000, +240.000
1583291340, +3.43, +16.937, +45.86257, +1039.000, -29.000, +240.000
1583291400, +3.43, +16.928, +46.27132, +1040.000, -24.000, +240.000
1583291460, +3.43, +16.937, +46.17842, +1038.000, -31.000, +243.000
1583291520, +3.43, +16.954, +46.15674, +1039.000, -26.000, +243.000
1583291580, +3.43, +16.928, +45.95237, +1038.000, -28.000, +243.000
1583291640, +3.43, +16.945, +46.32396, +1033.000, -29.000, +244.000
1583291700, +3.43, +16.920, +46.24654, +1040.000, -24.000, +240.000
1583291760, +3.43, +16.954, +46.27441, +1040.000, -24.000, +243.000
1583291820, +3.43, +16.928, +46.13816, +1032.000, -31.000, +248.000
1583291880, +3.43, +16.937, +46.22487, +1038.000, -26.000, +243.000
1583291940, +3.43, +16.954, +45.91211, +1038.000, -26.000, +241.000
1583292000, +3.43, +16.945, +46.03598, +1039.000, -29.000, +246.000
1583292060, +3.43, +16.911, +46.27441, +1041.000, -26.000, +240.000
1583292120, +3.43, +16.937, +46.14745, +1032.000, -26.000, +246.000
1583292180, +3.43, +16.954, +46.29919, +1036.000, -29.000, +243.000
1583292240, +3.43, +16.954, +46.43853, +1041.000, -26.000, +236.000
1583292300, +3.43, +16.937, +46.23726, +1039.000, -26.000, +243.000
1583292360, +3.43, +16.937, +46.17532, +1039.000, -25.000, +240.000
1583292420, +3.43, +16.962, +46.52833, +1040.000, -25.000, +240.000
1583292480, +3.43, +16.937, +46.66149, +1036.000, -29.000, +246.000
1583292540, +3.43, +16.937, +46.35493, +1032.000, -28.000, +248.000
1583292600, +3.43, +16.954, +46.20010, +1036.000, -28.000, +243.000
1583292660, +3.43, +16.954, +46.34254, +1032.000, -32.000, +248.000
1583292720, +3.43, +16.954, +46.07623, +1038.000, -32.000, +240.000
1583292780, +3.43, +16.928, +46.30848, +1039.000, -26.000, +240.000
1583292840, +3.43, +16.937, +46.20319, +1040.000, -29.000, +246.000
1583292900, +3.43, +16.937, +46.38899, +1039.000, -29.000, +246.000
1583292960, +3.43, +16.954, +46.22487, +1043.000, -24.000, +238.000
1583293020, +3.43, +16.937, +46.22797, +1043.000, -26.000, +240.000
1583293080, +3.43, +16.928, +46.25583, +1038.000, -24.000, +243.000
1583293140, +3.43, +16.928, +46.38899, +1039.000, -28.000, +240.000
1583293200, +3.43, +16.954, +46.15984, +1036.000, -32.000, +246.000
1583293260, +3.43, +16.945, +46.25893, +1036.000, -32.000, +248.000
1583293320, +3.43, +16.937, +46.22487, +1041.000, -28.000, +243.000
1583293380, +3.43, +16.962, +46.22797, +1043.000, -25.000, +240.000
1583293440, +3.43, +16.945, +46.44473, +1041.000, -25.000, +240.000
1583293500, +3.43, +16.937, +46.31777, +1036.000, -29.000, +244.000
1583293560, +3.43, +16.928, +46.17223, +1036.000, -25.000, +246.000
1583293620, +3.43, +16.928, +45.91521, +1039.000, -28.000, +238.000
1583293680, +3.43, +16.954, +46.05765, +1040.000, -28.000, +240.000
1583293740, +3.43, +16.928, +46.19081, +1038.000, -26.000, +243.000
1583293800, +3.43, +16.945, +46.23726, +1036.000, -31.000, +244.000
1583293860, +3.43, +16.962, +46.20629, +1031.000, -32.000, +248.000
1583293920, +3.43, +16.945, +46.47569, +1040.000, -24.000, +240.000
