Serial Number:20555847 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 18:57:00,17.11,"2,871", , , , , 
2020-03-02 18:58:00,17.16,"2,885", , , , , 
2020-03-02 18:59:00,17.16,"2,858", , , , , 
2020-03-02 19:00:00,17.16,"2,876", , , , , 
2020-03-02 19:01:00,17.16,"1,917", , , , , 
2020-03-02 19:02:00,17.16,"1,907", , , , , 
2020-03-02 19:03:00,17.11,"1,905", , , , , 
2020-03-02 19:04:00,17.07,"1,910", , , , , 
2020-03-02 19:05:00,17.11,"1,912", , , , , 
2020-03-02 19:06:00,17.16,"1,905", , , , , 
2020-03-02 19:07:00,17.16,"1,910", , , , , 
2020-03-02 19:08:00,17.16,"1,912", , , , , 
2020-03-02 19:09:00,17.11,"1,917", , , , , 
2020-03-02 19:10:00,17.16,"1,902", , , , , 
2020-03-02 19:11:00,17.11,"1,907", , , , , 
2020-03-02 19:12:00,17.11,"1,905", , , , , 
2020-03-02 19:13:00,17.11,"1,914", , , , , 
2020-03-02 19:14:00,17.07,"1,921", , , , , 
2020-03-02 19:15:00,17.16,"1,912", , , , , 
2020-03-02 19:16:00,17.07,"1,917", , , , , 
2020-03-02 19:17:00,17.11,"1,895", , , , , 
2020-03-02 19:18:00,17.07,"1,912", , , , , 
2020-03-02 19:19:00,17.11,"1,910", , , , , 
2020-03-02 19:20:00,17.11,"1,909", , , , , 
2020-03-02 19:21:00,17.11,"1,910", , , , , 
2020-03-02 19:22:00,17.16,"1,909", , , , , 
2020-03-02 19:23:00,17.11,"1,909", , , , , 
2020-03-02 19:24:00,17.11,"1,910", , , , , 
2020-03-02 19:25:00,17.16,"1,914", , , , , 
2020-03-02 19:26:00,17.07,"1,910", , , , , 
2020-03-02 19:27:00,17.16,"1,910", , , , , 
2020-03-02 19:28:00,17.11,"1,917", , , , , 
2020-03-02 19:29:00,17.11,"1,917", , , , , 
2020-03-02 19:30:00,17.16,"1,909", , , , , 
2020-03-02 19:31:00,17.16,"1,914", , , , , 
2020-03-02 19:32:00,17.11,"1,903", , , , , 
2020-03-02 19:33:00,17.11,"1,923", , , , , 
2020-03-02 19:34:00,17.11,"1,909", , , , , 
2020-03-02 19:35:00,17.11,"1,903", , , , , 
2020-03-02 19:36:00,17.11,"1,909", , , , , 
2020-03-02 19:37:00,17.11,"1,907", , , , , 
2020-03-02 19:38:00,17.16,"1,875", , , , , 
2020-03-02 19:39:00,17.11,"1,907", , , , , 
2020-03-02 19:40:00,17.07,"1,914", , , , , 
2020-03-02 19:41:00,17.16,"1,916", , , , , 
2020-03-02 19:42:00,17.16,"1,907", , , , , 
2020-03-02 19:43:00,17.16,"1,916", , , , , 
2020-03-02 19:44:00,17.16,"1,902", , , , , 
2020-03-02 19:45:00,17.16,"1,921", , , , , 
2020-03-02 19:46:00,17.11,"1,928", , , , , 
2020-03-02 19:47:00,17.11,"1,930", , , , , 
2020-03-02 19:48:00,17.11,"1,910", , , , , 
2020-03-02 19:49:00,17.16,"1,907", , , , , 
2020-03-02 19:50:00,17.07,"1,923", , , , , 
2020-03-02 19:51:00,17.11,"1,919", , , , , 
2020-03-02 19:52:00,17.16,"1,930", , , , , 
2020-03-02 19:53:00,17.11,"1,923", , , , , 
2020-03-02 19:54:00,17.11,"1,921", , , , , 
2020-03-02 19:55:00,17.16,"1,921", , , , , 
2020-03-02 19:56:00,17.11,"1,924", , , , , 
2020-03-02 19:57:00,17.11,"1,935", , , , , 
2020-03-02 19:58:00,17.11,"1,896", , , , , 
2020-03-02 19:59:00,17.11,"1,910", , , , , 
2020-03-02 20:00:00,17.11,"1,914", , , , , 
2020-03-02 20:01:00,17.07,944, , , , , 
2020-03-02 20:02:00,17.07,951, , , , , 
2020-03-02 20:03:00,17.07,952, , , , , 
2020-03-02 20:04:00,17.11,953, , , , , 
2020-03-02 20:05:00,17.11,955, , , , , 
2020-03-02 20:06:00,17.11,953, , , , , 
2020-03-02 20:07:00,17.07,949, , , , , 
2020-03-02 20:08:00,17.11,952, , , , , 
2020-03-02 20:09:00,17.11,949, , , , , 
2020-03-02 20:10:00,17.11,952, , , , , 
2020-03-02 20:11:00,17.11,949, , , , , 
2020-03-02 20:12:00,17.03,955, , , , , 
2020-03-02 20:13:00,17.03,954, , , , , 
2020-03-02 20:14:00,17.11,947, , , , , 
2020-03-02 20:15:00,17.07,951, , , , , 
2020-03-02 20:16:00,17.11,951, , , , , 
2020-03-02 20:17:00,17.16,954, , , , , 
2020-03-02 20:18:00,17.16,941, , , , , 
2020-03-02 20:19:00,17.11,951, , , , , 
2020-03-02 20:20:00,17.11,949, , , , , 
2020-03-02 20:21:00,17.07,949, , , , , 
2020-03-02 20:22:00,17.11,950, , , , , 
2020-03-02 20:23:00,17.11,949, , , , , 
2020-03-02 20:24:00,17.11,949, , , , , 
2020-03-02 20:25:00,17.11,948, , , , , 
