"Plot Title: 20739352"
"#","Date Time, GMT-08:00","High Range, μS/cm (LGR S/N: 20739352, SEN S/N: 20739352)","Temp, °C (LGR S/N: 20739352, SEN S/N: 20739352)"
162,11/17/20 11:16:40 AM,40204.3,20.91
163,11/17/20 11:16:50 AM,40170.0,20.91
164,11/17/20 11:17:00 AM,40197.4,20.91
165,11/17/20 11:17:10 AM,40214.5,20.91
166,11/17/20 11:17:20 AM,40214.5,20.89
167,11/17/20 11:17:30 AM,40214.5,20.91
168,11/17/20 11:17:40 AM,40214.5,20.89
169,11/17/20 11:17:50 AM,40224.8,20.89
170,11/17/20 11:18:00 AM,40224.8,20.89
171,11/17/20 11:18:10 AM,40197.4,20.89
172,11/17/20 11:18:20 AM,40214.5,20.89
173,11/17/20 11:18:30 AM,40180.3,20.89
174,11/17/20 11:18:40 AM,40180.3,20.89
175,11/17/20 11:18:50 AM,40180.3,20.89
176,11/17/20 11:19:00 AM,40197.4,20.89
177,11/17/20 11:19:10 AM,40197.4,20.89
178,11/17/20 11:19:20 AM,40207.7,20.89
179,11/17/20 11:19:30 AM,40218.0,20.89
180,11/17/20 11:19:40 AM,40218.0,20.89
181,11/17/20 11:19:50 AM,40228.2,20.89
182,11/17/20 11:20:00 AM,40218.0,20.89
183,11/17/20 11:20:10 AM,40200.8,20.89
184,11/17/20 11:20:20 AM,40218.0,20.88
185,11/17/20 11:20:30 AM,40207.7,20.88
186,11/17/20 11:20:40 AM,40190.6,20.89
187,11/17/20 11:20:50 AM,40173.5,20.88
188,11/17/20 11:21:00 AM,40190.6,20.89
189,11/17/20 11:21:10 AM,40218.0,20.89
190,11/17/20 11:21:20 AM,40200.8,20.89
191,11/17/20 11:21:30 AM,40200.8,20.89
192,11/17/20 11:21:40 AM,40200.8,20.89
193,11/17/20 11:21:50 AM,40190.6,20.89
194,11/17/20 11:22:00 AM,40228.2,20.89
195,11/17/20 11:22:10 AM,40190.6,20.89
196,11/17/20 11:22:20 AM,40200.8,20.89
197,11/17/20 11:22:30 AM,40218.0,20.89
198,11/17/20 11:22:40 AM,40207.7,20.89
199,11/17/20 11:22:50 AM,40235.1,20.89
200,11/17/20 11:23:00 AM,40207.7,20.89
201,11/17/20 11:23:10 AM,40183.7,20.91
202,11/17/20 11:23:20 AM,40194.0,20.89
203,11/17/20 11:23:30 AM,40218.0,20.89
204,11/17/20 11:23:40 AM,40228.2,20.91
205,11/17/20 11:23:50 AM,40194.0,20.89
206,11/17/20 11:24:00 AM,40238.5,20.91
207,11/17/20 11:24:10 AM,40211.1,20.89
208,11/17/20 11:24:20 AM,40211.1,20.89
209,11/17/20 11:24:30 AM,40221.4,20.89
210,11/17/20 11:24:40 AM,40211.1,20.89
211,11/17/20 11:24:50 AM,40231.7,20.89
212,11/17/20 11:25:00 AM,40248.8,20.89
213,11/17/20 11:25:10 AM,40221.4,20.89
214,11/17/20 11:25:20 AM,40159.8,20.89
215,11/17/20 11:25:30 AM,40194.0,20.89
216,11/17/20 11:25:40 AM,40214.5,20.89
217,11/17/20 11:25:50 AM,40194.0,20.91
218,11/17/20 11:26:00 AM,40221.4,20.91
219,11/17/20 11:26:10 AM,40238.5,20.89
220,11/17/20 11:26:20 AM,40204.3,20.89
221,11/17/20 11:26:30 AM,40204.3,20.91
222,11/17/20 11:26:40 AM,40221.4,20.91
223,11/17/20 11:26:50 AM,40214.5,20.91
224,11/17/20 11:27:00 AM,40221.4,20.91
225,11/17/20 11:27:10 AM,40221.4,20.89
226,11/17/20 11:27:20 AM,40221.4,20.91
227,11/17/20 11:27:30 AM,40214.5,20.91
228,11/17/20 11:27:40 AM,40204.3,20.91
229,11/17/20 11:27:50 AM,40187.1,20.89
230,11/17/20 11:28:00 AM,40214.5,20.91
231,11/17/20 11:28:10 AM,40214.5,20.91
232,11/17/20 11:28:20 AM,40197.4,20.91
233,11/17/20 11:28:30 AM,40204.3,20.91
234,11/17/20 11:28:40 AM,40197.4,20.91
235,11/17/20 11:28:50 AM,40238.5,20.91
236,11/17/20 11:29:00 AM,40197.4,20.91
237,11/17/20 11:29:10 AM,40255.7,20.91
238,11/17/20 11:29:20 AM,40197.4,20.91
239,11/17/20 11:29:30 AM,40224.8,20.91
240,11/17/20 11:29:40 AM,40248.8,20.91
241,11/17/20 11:29:50 AM,40224.8,20.91
242,11/17/20 11:30:00 AM,40204.3,20.91
243,11/17/20 11:30:10 AM,40231.7,20.91
244,11/17/20 11:30:20 AM,40187.1,20.91
245,11/17/20 11:30:30 AM,40241.9,20.91
246,11/17/20 11:30:40 AM,40231.7,20.91
247,11/17/20 11:30:50 AM,40241.9,20.92
248,11/17/20 11:31:00 AM,40197.4,20.92
249,11/17/20 11:31:10 AM,40231.7,20.92
250,11/17/20 11:31:20 AM,40207.7,20.91
251,11/17/20 11:31:30 AM,40224.8,20.91
252,11/17/20 11:31:40 AM,40224.8,20.91
253,11/17/20 11:31:50 AM,40207.7,20.91
254,11/17/20 11:32:00 AM,40214.5,20.91
255,11/17/20 11:32:10 AM,40214.5,20.91
256,11/17/20 11:32:20 AM,40187.1,20.91
257,11/17/20 11:32:30 AM,40224.8,20.91
258,11/17/20 11:32:40 AM,40224.8,20.91
259,11/17/20 11:32:50 AM,40197.4,20.92
260,11/17/20 11:33:00 AM,40190.6,20.92
261,11/17/20 11:33:10 AM,40235.1,20.91
262,11/17/20 11:33:20 AM,40180.3,20.92
263,11/17/20 11:33:30 AM,40207.7,20.92
264,11/17/20 11:33:40 AM,40207.7,20.92
265,11/17/20 11:33:50 AM,40187.1,20.92
266,11/17/20 11:34:00 AM,40207.7,20.92
267,11/17/20 11:34:10 AM,40200.8,20.92
268,11/17/20 11:34:20 AM,40207.7,20.92
269,11/17/20 11:34:30 AM,40173.5,20.93
270,11/17/20 11:34:40 AM,40180.3,20.93
271,11/17/20 11:34:50 AM,40190.6,20.93
272,11/17/20 11:35:00 AM,40224.8,20.93
273,11/17/20 11:35:10 AM,40235.1,20.93
274,11/17/20 11:35:20 AM,40190.6,20.93
275,11/17/20 11:35:30 AM,40224.8,20.93
276,11/17/20 11:35:40 AM,40235.1,20.93
277,11/17/20 11:35:50 AM,40207.7,20.93
278,11/17/20 11:36:00 AM,40207.7,20.93
279,11/17/20 11:36:10 AM,40224.8,20.93
280,11/17/20 11:36:20 AM,40190.6,20.93
281,11/17/20 11:36:30 AM,40224.8,20.94
282,11/17/20 11:36:40 AM,40207.7,20.93
283,11/17/20 11:36:50 AM,40218.0,20.94
284,11/17/20 11:37:00 AM,40200.8,20.94
285,11/17/20 11:37:10 AM,40207.7,20.94
286,11/17/20 11:37:20 AM,40218.0,20.94
287,11/17/20 11:37:30 AM,40218.0,20.94
288,11/17/20 11:37:40 AM,40235.1,20.94
289,11/17/20 11:37:50 AM,40200.8,20.94
290,11/17/20 11:38:00 AM,40224.8,20.93
291,11/17/20 11:38:10 AM,40207.7,20.94
292,11/17/20 11:38:20 AM,40235.1,20.94
293,11/17/20 11:38:30 AM,40218.0,20.94
294,11/17/20 11:38:40 AM,40200.8,20.93
295,11/17/20 11:38:50 AM,40235.1,20.94
296,11/17/20 11:39:00 AM,40235.1,20.94
297,11/17/20 11:39:10 AM,40200.8,20.94
298,11/17/20 11:39:20 AM,40211.1,20.94
299,11/17/20 11:39:30 AM,40218.0,20.94
300,11/17/20 11:39:40 AM,40235.1,20.94
301,11/17/20 11:39:50 AM,40211.1,20.96
302,11/17/20 11:40:00 AM,40159.8,20.94
303,11/17/20 11:40:10 AM,40194.0,20.96
304,11/17/20 11:40:20 AM,40194.0,20.94
305,11/17/20 11:40:30 AM,40194.0,20.96
306,11/17/20 11:40:40 AM,40176.9,20.96
307,11/17/20 11:40:50 AM,40194.0,20.94
308,11/17/20 11:41:00 AM,40218.0,20.96
309,11/17/20 11:41:10 AM,40200.8,20.96
310,11/17/20 11:41:20 AM,40194.0,20.96
311,11/17/20 11:41:30 AM,40235.1,20.96
312,11/17/20 11:41:40 AM,40200.8,20.96
313,11/17/20 11:41:50 AM,40183.7,20.96
314,11/17/20 11:42:00 AM,40194.0,20.96
315,11/17/20 11:42:10 AM,40211.1,20.96
316,11/17/20 11:42:20 AM,40200.8,20.96
317,11/17/20 11:42:30 AM,40218.0,20.96
318,11/17/20 11:42:40 AM,40194.0,20.96
319,11/17/20 11:42:50 AM,40200.8,20.96
320,11/17/20 11:43:00 AM,40194.0,20.96
321,11/17/20 11:43:10 AM,40194.0,20.96
322,11/17/20 11:43:20 AM,40228.2,20.96
323,11/17/20 11:43:30 AM,40211.1,20.96
324,11/17/20 11:43:40 AM,40194.0,20.96
325,11/17/20 11:43:50 AM,40166.6,20.96
326,11/17/20 11:44:00 AM,40194.0,20.96
327,11/17/20 11:44:10 AM,40218.0,20.94
328,11/17/20 11:44:20 AM,40218.0,20.96
329,11/17/20 11:44:30 AM,40211.1,20.96
330,11/17/20 11:44:40 AM,40200.8,20.96
331,11/17/20 11:44:50 AM,40200.8,20.96
332,11/17/20 11:45:00 AM,40200.8,20.94
333,11/17/20 11:45:10 AM,40218.0,20.96
334,11/17/20 11:45:20 AM,40200.8,20.94
335,11/17/20 11:45:30 AM,40183.7,20.94
336,11/17/20 11:45:40 AM,40211.1,20.94
337,11/17/20 11:45:50 AM,40194.0,20.96
338,11/17/20 11:46:00 AM,40200.8,20.94
339,11/17/20 11:46:10 AM,39639.1,20.94
340,11/17/20 11:46:20 AM,34493.8,20.96
341,11/17/20 11:46:30 AM,35157.3,20.93
342,11/17/20 11:46:40 AM,35050.3,20.93
343,11/17/20 11:46:50 AM,35036.6,20.96
344,11/17/20 11:47:00 AM,35053.0,20.96
345,11/17/20 11:47:10 AM,35036.6,20.96
346,11/17/20 11:47:20 AM,35088.6,20.96
347,11/17/20 11:47:30 AM,35080.4,20.96
348,11/17/20 11:47:40 AM,35096.9,20.96
349,11/17/20 11:47:50 AM,35096.9,20.96
350,11/17/20 11:48:00 AM,35096.9,20.96
351,11/17/20 11:48:10 AM,35121.6,20.97
352,11/17/20 11:48:20 AM,35102.4,20.96
353,11/17/20 11:48:30 AM,35110.6,20.96
354,11/17/20 11:48:40 AM,35110.6,20.97
355,11/17/20 11:48:50 AM,35102.4,20.97
356,11/17/20 11:49:00 AM,35127.1,20.96
357,11/17/20 11:49:10 AM,35138.1,20.97
358,11/17/20 11:49:20 AM,35118.8,20.97
359,11/17/20 11:49:30 AM,35138.1,20.97
360,11/17/20 11:49:40 AM,35143.6,20.97
361,11/17/20 11:49:50 AM,35154.5,20.97
362,11/17/20 11:50:00 AM,35143.6,20.96
363,11/17/20 11:50:10 AM,35143.6,20.96
364,11/17/20 11:50:20 AM,35143.6,20.96
365,11/17/20 11:50:30 AM,35127.1,20.97
366,11/17/20 11:50:40 AM,35127.1,20.96
367,11/17/20 11:50:50 AM,35160.0,20.96
368,11/17/20 11:51:00 AM,35162.8,20.96
369,11/17/20 11:51:10 AM,35160.0,20.97
370,11/17/20 11:51:20 AM,35171.1,20.96
371,11/17/20 11:51:30 AM,35151.8,20.96
372,11/17/20 11:51:40 AM,35171.1,20.96
373,11/17/20 11:51:50 AM,35184.8,20.97
374,11/17/20 11:52:00 AM,35157.3,20.96
375,11/17/20 11:52:10 AM,35187.6,20.96
376,11/17/20 11:52:20 AM,35157.3,20.97
377,11/17/20 11:52:30 AM,35149.0,20.96
378,11/17/20 11:52:40 AM,35182.1,20.96
379,11/17/20 11:52:50 AM,35154.5,20.96
380,11/17/20 11:53:00 AM,35168.3,20.96
381,11/17/20 11:53:10 AM,35168.3,20.96
382,11/17/20 11:53:20 AM,35184.8,20.96
383,11/17/20 11:53:30 AM,35154.5,20.96
384,11/17/20 11:53:40 AM,35165.6,20.96
385,11/17/20 11:53:50 AM,35165.6,20.94
386,11/17/20 11:54:00 AM,35157.3,20.93
387,11/17/20 11:54:10 AM,35157.3,20.93
388,11/17/20 11:54:20 AM,35184.8,20.93
389,11/17/20 11:54:30 AM,35198.6,20.94
390,11/17/20 11:54:40 AM,35198.6,20.93
391,11/17/20 11:54:50 AM,35176.6,20.93
392,11/17/20 11:55:00 AM,35217.9,20.94
393,11/17/20 11:55:10 AM,35217.9,20.94
394,11/17/20 11:55:20 AM,35204.1,20.94
395,11/17/20 11:55:30 AM,35226.2,20.94
396,11/17/20 11:55:40 AM,35226.2,20.94
397,11/17/20 11:55:50 AM,35245.5,20.94
398,11/17/20 11:56:00 AM,35245.5,20.96
399,11/17/20 11:56:10 AM,35226.2,20.96
400,11/17/20 11:56:20 AM,35231.7,20.96
401,11/17/20 11:56:30 AM,35226.2,20.96
402,11/17/20 11:56:40 AM,35212.4,20.96
403,11/17/20 11:56:50 AM,35245.5,20.96
404,11/17/20 11:57:00 AM,35226.2,20.96
