"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
102,03/06/20 12:47:00 PM,25.10,0.0,0.0123
103,03/06/20 12:47:10 PM,25.14,0.0,0.0123
104,03/06/20 12:47:20 PM,25.18,0.0,0.0123
105,03/06/20 12:47:30 PM,25.21,0.0,0.0123
106,03/06/20 12:47:40 PM,25.24,0.0,0.0123
107,03/06/20 12:47:50 PM,25.29,0.0,0.0123
108,03/06/20 12:48:00 PM,25.29,0.0,0.0123
109,03/06/20 12:48:10 PM,25.31,0.0,0.0123
110,03/06/20 12:48:20 PM,25.34,0.0,0.0123
111,03/06/20 12:48:30 PM,25.37,0.0,0.0123
112,03/06/20 12:48:40 PM,25.41,0.0,0.0123
113,03/06/20 12:48:50 PM,25.45,0.0,0.0123
114,03/06/20 12:49:00 PM,25.47,0.0,0.0123
115,03/06/20 12:49:10 PM,25.52,0.0,0.0123
116,03/06/20 12:49:20 PM,25.54,0.0,0.0123
117,03/06/20 12:49:30 PM,25.59,0.0,0.0123
118,03/06/20 12:49:40 PM,25.64,0.0,0.0123
119,03/06/20 12:49:50 PM,25.68,0.0,0.0123
120,03/06/20 12:50:00 PM,25.70,0.0,0.0123
121,03/06/20 12:50:10 PM,25.73,0.0,0.0123
122,03/06/20 12:50:20 PM,25.75,0.0,0.0123
123,03/06/20 12:50:30 PM,25.78,0.0,0.0123
124,03/06/20 12:50:40 PM,25.79,0.0,0.0123
125,03/06/20 12:50:50 PM,25.81,0.0,0.0123
126,03/06/20 12:51:00 PM,25.84,0.0,0.0123
127,03/06/20 12:51:10 PM,25.86,0.0,0.0123
128,03/06/20 12:51:20 PM,25.86,0.0,0.0123
129,03/06/20 12:51:30 PM,25.86,0.0,0.0123
130,03/06/20 12:51:40 PM,25.86,0.0,0.0123
131,03/06/20 12:51:50 PM,25.80,0.0,0.0123
132,03/06/20 12:52:00 PM,25.78,0.0,0.0123
133,03/06/20 12:52:10 PM,25.76,0.0,0.0123
134,03/06/20 12:52:20 PM,25.75,0.0,0.0123
135,03/06/20 12:52:30 PM,25.74,0.0,0.0123
136,03/06/20 12:52:40 PM,25.72,0.0,0.0123
137,03/06/20 12:52:50 PM,25.72,0.0,0.0123
138,03/06/20 12:53:00 PM,25.70,0.0,0.0123
139,03/06/20 12:53:10 PM,25.68,0.0,0.0123
140,03/06/20 12:53:20 PM,25.65,0.0,0.0123
141,03/06/20 12:53:30 PM,25.65,0.0,0.0123
142,03/06/20 12:53:40 PM,25.63,0.0,0.0123
143,03/06/20 12:53:50 PM,25.60,0.0,0.0123
144,03/06/20 12:54:00 PM,25.59,0.0,0.0123
145,03/06/20 12:54:10 PM,25.58,0.0,0.0123
146,03/06/20 12:54:20 PM,25.54,0.0,0.0123
147,03/06/20 12:54:30 PM,25.53,0.0,0.0123
148,03/06/20 12:54:40 PM,25.52,0.0,0.0123
149,03/06/20 12:54:50 PM,25.49,0.0,0.0123
150,03/06/20 12:55:00 PM,25.49,0.0,0.0123
151,03/06/20 12:55:10 PM,25.49,0.0,0.0123
152,03/06/20 12:55:20 PM,25.48,0.0,0.0123
153,03/06/20 12:55:30 PM,25.48,0.0,0.0123
154,03/06/20 12:55:40 PM,25.48,0.0,0.0123
155,03/06/20 12:55:50 PM,25.48,0.0,0.0123
156,03/06/20 12:56:00 PM,25.47,0.0,0.0123
157,03/06/20 12:56:10 PM,25.47,0.0,0.0123
158,03/06/20 12:56:20 PM,25.46,0.0,0.0123
