Serial Number:20555870 --

"Date Time, GMT -0800","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","Stopped","EOF"
2020-03-02 17:03:00,17.20,"3,095", , , , , 
2020-03-02 17:04:00,17.24,"3,004", , , , , 
2020-03-02 17:05:00,17.20,"2,995", , , , , 
2020-03-02 17:06:00,17.24,"3,013", , , , , 
2020-03-02 17:07:00,17.20,"3,000", , , , , 
2020-03-02 17:08:00,17.24,"3,017", , , , , 
2020-03-02 17:09:00,17.29,"3,016", , , , , 
2020-03-02 17:10:00,17.24,"3,018", , , , , 
2020-03-02 17:11:00,17.24,"3,003", , , , , 
2020-03-02 17:12:00,17.24,"3,027", , , , , 
2020-03-02 17:13:00,17.20,"2,999", , , , , 
2020-03-02 17:14:00,17.24,"3,050", , , , , 
2020-03-02 17:15:00,17.20,"3,027", , , , , 
2020-03-02 17:16:00,17.16,"3,003", , , , , 
2020-03-02 17:17:00,17.20,"3,013", , , , , 
2020-03-02 17:18:00,17.20,"3,030", , , , , 
2020-03-02 17:19:00,17.20,"3,039", , , , , 
2020-03-02 17:20:00,17.24,"3,018", , , , , 
2020-03-02 17:21:00,17.24,"3,040", , , , , 
2020-03-02 17:22:00,17.20,"3,026", , , , , 
2020-03-02 17:23:00,17.24,"3,030", , , , , 
2020-03-02 17:24:00,17.24,"3,009", , , , , 
2020-03-02 17:25:00,17.20,"3,035", , , , , 
2020-03-02 17:26:00,17.24,"3,023", , , , , 
2020-03-02 17:27:00,17.20,"2,976", , , , , 
2020-03-02 17:28:00,17.20,"3,036", , , , , 
2020-03-02 17:29:00,17.20,"3,030", , , , , 
2020-03-02 17:30:00,17.20,"3,050", , , , , 
2020-03-02 17:31:00,17.24,"3,050", , , , , 
2020-03-02 17:32:00,17.20,"3,027", , , , , 
2020-03-02 17:33:00,17.24,"3,064", , , , , 
2020-03-02 17:34:00,17.24,"3,076", , , , , 
2020-03-02 17:35:00,17.24,"3,053", , , , , 
2020-03-02 17:36:00,17.24,"3,055", , , , , 
2020-03-02 17:37:00,17.20,"3,036", , , , , 
2020-03-02 17:38:00,17.24,"3,109", , , , , 
2020-03-02 17:39:00,17.20,"3,027", , , , , 
2020-03-02 17:40:00,17.24,"3,073", , , , , 
2020-03-02 17:41:00,17.20,"3,022", , , , , 
2020-03-02 17:42:00,17.24,"3,041", , , , , 
2020-03-02 17:43:00,17.24,"3,031", , , , , 
2020-03-02 17:44:00,17.24,"3,022", , , , , 
2020-03-02 17:45:00,17.16,"3,022", , , , , 
2020-03-02 17:46:00,17.20,"3,054", , , , , 
2020-03-02 17:47:00,17.24,"3,045", , , , , 
